yb_wl_corr,er_no_synchr,er_wl_corr,er_synch,yb_synch,yb_no_synch,yb_wl,er_wl,,
966.277097352904,-200.317736094235,1411.57915205798,-200.824185295839,-197.357726445639,-197.04752571749,974.588780306873,1436.31596004832,,
966.342638992531,-200.475981674866,1411.72770111445,-200.834464542555,-197.219533159046,-196.767789457061,974.645773036983,1436.43975092871,,
966.408188298192,-200.659289327333,1411.87627577894,-200.823547252258,-197.318758986908,-197.096646097777,974.70277243321,1436.56356314912,,
966.473745271233,-200.567788982978,1412.02487605808,-200.834222241183,-197.346692130323,-197.032471269145,974.759778496724,1436.68739671507,,
966.539309912997,-200.353158130164,1412.17350195848,-200.825276178427,-197.270835491449,-196.879815975213,974.816791228693,1436.81125163207,,
966.604882224833,-200.355120174703,1412.32215348678,-200.831838642643,-197.258576689501,-196.913073064369,974.873810630289,1436.93512790565,,
966.670462208084,-200.571554360536,1412.4708306496,-200.828686192738,-197.344627047079,-197.114642693341,974.930836702682,1437.05902554133,,
966.736049864099,-200.660687014579,1412.61953345357,-200.828410633278,-197.324841468888,-196.957816655455,974.987869447042,1437.18294454464,,
966.801645194222,-200.474568214531,1412.76826190532,-200.832406106703,-197.210153297919,-196.789561860619,975.044908864541,1437.3068849211,,
966.867248199802,-200.317381144549,1412.9170160115,-200.825440289389,-197.343511970094,-197.148416039762,975.101954956349,1437.43084667625,,
966.932858882184,-200.432662010831,1413.06579577874,-200.834967886665,-197.326883150589,-196.972495806858,975.159007723638,1437.55482981562,,
966.998477242718,-200.64447086766,1413.2146012137,-200.82420214496,-197.252200676424,-196.8629297385,975.216067167581,1437.67883434475,,
967.06410328275,-200.610299360528,1413.36343232299,-200.835410630061,-197.268690571688,-196.95049668617,975.273133289348,1437.80286026916,,
967.12973700363,-200.386798330328,1413.51228911327,-200.825237863967,-197.349905068736,-197.117384531106,975.330206090113,1437.92690759439,,
967.195378406707,-200.331179449,1413.66117159119,-200.83365169726,-197.297717242059,-196.893867259107,975.387285571049,1438.05097632599,,
967.261027493326,-200.529015013257,1413.8100797634,-200.828170262258,-197.208022835368,-196.821407549345,975.444371733327,1438.1750664695,,
967.326684264839,-200.672251191301,1413.95901363655,-200.830485638623,-197.358955643258,-197.170913067922,975.501464578121,1438.29917803046,,
967.392348722596,-200.524908275526,1414.10797321729,-200.83188737705,-197.305642808304,-196.924020254317,975.558564106605,1438.42331101441,,
967.458020867946,-200.329453554672,1414.25695851229,-200.827234375876,-197.242244682982,-196.858788766024,975.615670319953,1438.54746542691,,
967.523700702239,-200.390916775651,1414.4059695282,-200.835002474329,-197.274859076036,-196.977483085419,975.672783219338,1438.6716412735,,
967.589388226824,-200.616664168615,1414.55500627168,-200.825212314964,-197.348426145066,-197.105403788904,975.729902805934,1438.79583855973,,
967.655083443055,-200.646664959195,1414.70406874939,-200.836397683525,-197.278888590625,-196.856968507306,975.787029080917,1438.92005729116,,
967.720786352279,-200.430950649766,1414.853156968,-200.82522767313,-197.206267923675,-196.84287045539,975.84416204546,1439.04429747333,,
967.786496955851,-200.31777496148,1415.00227093418,-200.83563799134,-197.365980918895,-197.178349470121,975.90130170074,1439.16855911182,,
967.852215255122,-200.480808632219,1415.1514106546,-200.827304584735,-197.28907009346,-196.893247727767,975.958448047932,1439.29284221217,,
967.917941251442,-200.669727377528,1415.30057613594,-200.833104845622,-197.236578902391,-196.855583433353,976.01560108821,1439.41714677995,,
967.983674946165,-200.576567908809,1415.44976738486,-200.830710294743,-197.274103491053,-196.991512086994,976.072760822752,1439.54147282072,,
968.049416340643,-200.355315537709,1415.59898440805,-200.829817391716,-197.34571189598,-197.092119542379,976.129927252733,1439.66582034004,,
968.115165436228,-200.354639821,1415.74822721219,-200.834254844566,-197.267477221259,-196.842214640993,976.187100379329,1439.79018934349,,
968.180922234277,-200.576475967135,1415.89749580394,-200.827031774566,-197.201919311661,-196.843964278356,976.244280203719,1439.91457983662,,
968.246686736139,-200.672500100719,1416.04679019001,-200.836737465363,-197.364610232363,-197.181136165002,976.301466727077,1440.03899182501,,
968.312458943171,-200.48388668367,1416.19611037708,-200.82578316653,-197.282313174696,-196.882079307742,976.358659950583,1440.16342531423,,
968.378238856725,-200.318014202749,1416.34545637183,-200.837371343533,-197.22999559457,-196.845389473222,976.415859875413,1440.28788030986,,
968.444026478158,-200.430597371026,1416.49482818096,-200.826537577412,-197.267805519703,-196.9935828595,976.473066502746,1440.41235681747,,
968.509821808823,-200.651090868457,1416.64422581117,-200.836037588688,-197.342292707504,-197.083465904286,976.530279833759,1440.53685484264,,
968.575624850076,-200.62497781993,1416.79364926914,-200.829063002685,-197.264308715235,-196.846628797838,976.587499869631,1440.66137439095,,
968.641435603271,-200.395382850428,1416.94309856158,-200.833291234195,-197.193500512925,-196.821934254636,976.64472661154,1440.78591546798,,
968.707254069766,-200.328219854252,1417.09257369518,-200.832543697336,-197.35382767094,-197.180831049899,976.701960060666,1440.91047807932,,
968.773080250915,-200.526061741185,1417.24207467666,-200.830137159847,-197.288615083656,-196.893577185515,976.759200218187,1441.03506223055,,
968.838914148077,-200.683326299642,1417.3916015127,-200.835879629867,-197.21955421907,-196.82511302446,976.816447085284,1441.15966792725,,
968.904755762607,-200.542295289149,1417.54115421002,-200.827672834983,-197.258679894569,-196.983814576228,976.873700663136,1441.28429517502,,
968.970605095862,-200.3345358169,1417.69073277535,-200.838058899408,-197.33428678804,-197.079004524656,976.930960952923,1441.40894397946,,
969.0364621492,-200.383202473272,1417.84033721537,-200.826729224945,-197.273056394338,-196.871593089212,976.988227955826,1441.53361434614,,
969.102326923979,-200.615754965119,1417.98996753682,-200.83847672522,-197.180404484737,-196.78029676209,977.045501673025,1441.65830628068,,
969.168199421555,-200.664437382322,1418.13962374639,-200.827625326309,-197.332434431372,-197.16811209863,977.1027821057,1441.78301978866,,
969.234079643289,-200.448595357543,1418.28930585082,-200.837102465531,-197.306563264266,-196.933189862619,977.160069255034,1441.90775487568,,
969.299967590539,-200.316212484186,1418.43901385682,-200.830101161791,-197.208384555376,-196.797955855158,977.217363122208,1442.03251154735,,
